Tag,Project_count,Win_count,Win:Proj
facebook,529,53,0.1002
css,1852,192,0.1037
html,2300,240,0.1043
java,1077,130,0.1207
javascript,3338,420,0.1258
jquery,1082,137,0.1266
parse,694,89,0.1282
android,2033,265,0.1303
php,568,74,0.1303
web,2921,387,0.1325
mac,775,117,0.151
python,1696,261,0.1539
windows,798,129,0.1617
flask,587,95,0.1618
ios,1859,312,0.1678
objective-c,603,108,0.1791
node.js,1530,276,0.1804
mongodb,869,157,0.1807
twilio,663,120,0.181
firebase,548,100,0.1825
azure,559,103,0.1843
hardware,917,211,0.2301
