Ithaca, New York, United States
Buffalo, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Pittsburgh, Pennsylvania, United States
Ithaca, New York, United States
Buffalo, New York, United States
Ithaca, New York, United States
Binghamton, New York, United States
Ithaca, New York, United States
Pittsburgh, Pennsylvania, United States
Boston, Massachusetts, United States
Ithaca, NY, US
Ithaca, New York, United States
Rochester, New York, United States
Binghamton, New York, United States
Ithaca, New York, United States
Providence, Rhode Island, United States
Binghamton, New York, United States
Beaver Falls, PA, US
Rochester, New York, United States
Rochester, New York, United States
Binghamton, New York, United States
Norman, Oklahoma, United States
Binghamton, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Seattle, Washington, United States
Rochester, NY, US
Ithaca, New York, United States
New York, New York, United States
Ithaca, New York, United States
Pittsburgh, Pennsylvania, United States
Rochester, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Mississippi State University, MS, US
Buffalo, New York, United States
Ithaca, New York, United States
Rochester, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
New York, New York, United States
New York, New York, United States
Vestal, NY, US
Ithaca, New York, United States
Buffalo, New York, United States
Ithaca, New York, United States
Rochester, New York, United States
Buffalo, New York, United States
Boston, Massachusetts, United States
Ithaca, New York, United States
Binghamton, New York, United States
Ithaca, NY, US
Ithaca, New York, United States
Huntington, New York, United States
Binghamton, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Rochester, New York, United States
Buffalo, NY, US
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
New York, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Baghdad, Baghdād, IQ
Ithaca, New York, United States
Ithaca, New York, United States
New York, New York, United States
New York, New York, United States
Rochester, New York, United States
New York, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Bergenfield, NJ, US
Ithaca, New York, United States
Rochester, New York, United States
New York, New York, United States
Ithaca, New York, United States
Boston, Massachusetts, United States
Rochester, New York, United States
Ithaca, New York, United States
Binghamton, New York, United States
Stony Brook, New York, United States
Ithaca, New York, United States
Boston, Massachusetts, United States
Ithaca, New York, United States
Binghamton, NY, US
Buffalo, New York, United States
Rochester, New York, United States
Ithaca, New York, United States
Cupertino, California, United States
Rochester, New York, United States
Philadelphia, Pennsylvania, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Buffalo, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
New York, New York, United States
New York, New York, United States
Binghamton, New York, United States
New York, New York, United States
Rochester, New York, United States
Pittsburgh, Pennsylvania, United States
Ithaca, New York, United States
New York, New York, United States
Ithaca, New York, United States
Binghamton, New York, United States
Ithaca, New York, United States
Pittsburgh, Pennsylvania, United States
Amherst, MA, US
Ithaca, New York, United States
Philadelphia, Pennsylvania, United States
Ithaca, New York, United States
Ithaca, New York, United States
Philadelphia, Pennsylvania, United States
New York, New York, United States
Lake Villa, IL, US
Ithaca, New York, United States
New York, New York, United States
Philadelphia, Pennsylvania, United States
Ithaca, New York, United States
Washington, District of Columbia, United States
Ithaca, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Philadelphia, Pennsylvania, United States
Rochester, New York, United States
New York, New York, United States
Rochester, New York, United States
New York, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Rochester, New York, United States
Rochester, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Rochester, New York, United States
Ithaca, New York, United States
Binghamton, New York, United States
Ithaca, New York, United States
Rochester, New York, United States
Philadelphia, Pennsylvania, United States
New York, New York, United States
Ithaca, New York, United States
Ithaca, New York, United States
Philadelphia, Pennsylvania, United States
Brooklyn, NY, US
Ithaca, New York, United States
